,PSV
ALB191,0.7867532346641544
ALB202,0.8261866347782304
ALB212,0.8524029197639948
ALB213,0.8527539247530377
ALB220,0.7518949433673141
ALB230,0.8031875099144759
Adana23108,0.8686688448468133
Adana23112,0.8676884905444777
Adana23113,0.9038302872235444
Adana23114,0.8926585042630187
Adana23117,0.851639686776161
Adana23133,0.8659768864087733
Adana23136,0.8618438005188839
Adana23144,0.8879477199655851
Adana23147,0.8266153801157478
Adana23150,0.8570519346226658
AshkenaziJew5704,0.8224429868721312
AshkenaziJew5728,0.7623292320220189
AshkenaziJew5779,0.8182187341896958
AshkenaziJew5782,0.8131061837524256
AshkenaziJew5783,0.6684461468149461
AshkenaziJew5788,0.8122892845656673
AshkenaziJew5790,0.7893706496507122
Aydin18112,0.8763601515448325
Aydin18419,0.8797732480678498
Aydin18483,0.8966542232081056
Aydin18596,0.8898236157061821
Aydin18636,0.8776158070742897
Aydin18784,0.8263399293586611
Aydin18873,0.8628339478996769
BAS22,0.8924167062114855
BAS25,0.8919877026610782
BAS27,0.9173952656319275
BAS28,0.8921111646164962
BAS30,0.8940665981488087
BAS31,0.9070391015351954
BAS32,0.910381994894953
BAS33,0.9166652717399291
BAS35,0.8961429043778586
BEL57,0.9157963686371102
Balikesir16653,0.8881321136500273
Balikesir16675,0.8632845984647224
Balikesir16790,0.87637024281924
Balikesir16837,0.9274429499116298
Balikesir16887,0.8657071541234224
Balikesir17006,0.8842249018008508
BulgarianA1,0.7482944044089066
BulgarianA4,0.8411089298623977
BulgarianB1,0.7966216349769139
BulgarianB4,0.8089011951104143
BulgarianC1,0.8110235322679318
BulgarianD6,0.8533396322400761
BulgarianE2,0.7727551714167119
BulgarianF1,0.8157505512613761
BulgarianF2,0.8294516899934838
BulgarianH2,0.7945132401745137
CRO103,0.9219862350513086
CRO107,0.9194916362649441
CRO153,0.9325408282418781
CRO31,0.9277767619296367
CRO41,0.9280038845987786
CRO47,0.9152950087333055
CRO48,0.9292820000794603
