,pandora_stability,pandora_cluster_stability
"(0, 1)",0.6711483643165574,0.5000000000000001
"(0, 2)",0.4905527085266344,0.25
"(0, 3)",0.6226937937780269,0.25
"(0, 4)",0.6545091130204503,0.5000000000000001
"(0, 5)",0.5368929864933218,0.5000000000000001
"(0, 6)",0.5396026246829544,0.25
"(0, 7)",0.8077393663661293,0.25
"(0, 8)",0.37974487306421995,0.25
"(0, 9)",0.4172118878309297,0.25
"(1, 2)",0.7063352866707346,0.25
"(1, 3)",0.7266438917950595,0.5000000000000001
"(1, 4)",0.9165422867103808,0.25
"(1, 5)",0.8533861172595834,0.25
"(1, 6)",0.41948497248189925,0.25
"(1, 7)",0.34937728848675864,0.25
"(1, 8)",0.5328939712170867,0.25
"(1, 9)",0.5234948268027845,0.25
"(2, 3)",0.511540624264928,0.5000000000000001
"(2, 4)",0.6022647002985846,0.25
"(2, 5)",0.633492765598672,0.25
"(2, 6)",0.801618308191487,1.0
"(2, 7)",0.6057920941325985,0.25
"(2, 8)",0.7713746048935277,0.5000000000000001
"(2, 9)",0.7246809770337693,0.25
"(3, 4)",0.8455006624461184,0.25
"(3, 5)",0.8283465109816963,0.25
"(3, 6)",0.6130771890110532,0.5000000000000001
"(3, 7)",0.5610108557629011,0.25
"(3, 8)",0.33058766551699276,0.25
"(3, 9)",0.6753464216585353,0.5000000000000001
"(4, 5)",0.9730603095043349,1.0
"(4, 6)",0.3575120947975791,0.25
"(4, 7)",0.3512779732802011,0.25
"(4, 8)",0.5492646074198863,0.5000000000000001
"(4, 9)",0.6397755901570606,0.5000000000000001
"(5, 6)",0.4487440790076444,0.25
"(5, 7)",0.45324248555009444,0.25
"(5, 8)",0.6259394786538246,0.5000000000000001
"(5, 9)",0.5989388911525696,0.5000000000000001
"(6, 7)",0.8069143485275421,0.25
"(6, 8)",0.4743834451780229,0.5000000000000001
"(6, 9)",0.6576132750718319,0.25
"(7, 8)",0.5541717824711124,0.25
"(7, 9)",0.5980348170333506,0.5000000000000001
"(8, 9)",0.834036035432992,0.25
